scientific name,common name,depth,bottom temperature,bottom salinity,substrate,strongest predictor variable,Species type,years present,Mean centroid shift (km),Range size (% change),Southern range extent latitude shift (degrees),Northern range extent latitude shift (degrees),fall abundance ,fall abundance (first 5 years ) ,fall abundance (last 5 years ) 
Alosa aestivalis,blueback herring,0.18%,0.11%,0.09%,0.08%,depth,pelagic,32,50.72,-12.50,0.10,0.03,68585,214,29327
Alosa pseudoharengus,alewife,0.00%,0.46%,0.12%,0.64%,substrate,pelagic,33,34.19,7.58,0.29,0.40,676135,29620,231282
Alosa sapidissima,American shad,0.12%,0.04%,0.05%,0.08%,depth,pelagic,33,24.54,23.33,-1.24,-1.04,31066,791,17888
Amblyraja radiata,thorny skate,1.94%,0.89%,0.03%,3.36%,substrate,demersal,33,13.92,-15.96,0.02,-0.04,36572,6395,4286
Ammodytes dubius,northern sand lance,0.16%,0.07%,0.09%,0.10%,depth,benthic,33,131.5,-50.82,1.67,-1.00,257022,38095,1357
Anarhichas lupus,Atlantic wolffish,0.00%,0.38%,0.04%,0.81%,substrate,benthic,32,36.18,-5.06,0.01,0.04,1231,230,71
Anchoa hepsetus,striped anchovy,0.23%,1.56%,0.42%,0.24%,bottom temperature,pelagic,32,67.54,8.06,1.43,1.36,11560354,1280393,291637
Anchoa mitchilli,bay anchovy,0.29%,1.40%,0.48%,0.27%,bottom temperature,pelagic,32,125.26,-11.54,3.37,3.12,32038287,2372840,29262
Antigonia capros,deepbody boarfish,0.01%,0.02%,0.16%,0.05%,bottom salinity,demersal,30,32.6,1.75,0.05,-0.02,43249,29,7799
Argentina silus,Atlantic argentine,0.88%,0.01%,0.33%,0.27%,depth,pelagic,30,117.73,8.20,0.21,0.23,3664,319,422
Argentina striata,striated argentine,0.09%,0.01%,0.19%,0.02%,bottom salinity,pelagic,22,140.6,-1.82,1.37,1.30,22963,21,1263
Aspidophoroides monopterygius,alligatorfish,0.00%,0.09%,0.03%,0.37%,substrate,demersal,33,151.57,20.75,0.36,0.38,11043,378,3212
Brevoortia tyrannus,Atlantic menhaden,0.02%,0.01%,0.02%,0.02%,bottom salinity,pelagic,31,176.83,-51.47,1.57,-1.63,14318,753,360
Brosme brosme,cusk,2.23%,0.18%,0.81%,1.24%,depth,demersal,33,10.57,16.90,-0.34,-0.22,1226,314,338
Centropristis striata,black sea bass,0.05%,0.25%,0.09%,0.60%,substrate,demersal,33,348.54,11.11,3.56,3.49,254309,11985,68124
Chlorophthalmus agassizi,shortnose greeneye,1.56%,0.01%,1.82%,0.05%,bottom salinity,demersal,33,358.6,-8.11,2.04,1.98,47851,4953,22046
Citharichthys arctifrons,Gulf Stream flounder,0.04%,0.07%,0.08%,0.43%,substrate,benthic,33,10.59,-15.00,0.06,0.08,766149,32593,330981
Clupea harengus,Atlantic herring,0.04%,0.57%,0.19%,0.23%,bottom temperature,pelagic,33,19.88,126.23,0.10,0.12,4008385,248729,1034952
