scientific name,common name,depth,bottom temperature,bottom salinity,substrate,strongest predictor variable,Species type,years present,Mean centroid shift (km),Range size (% change),Southern range extent latitude shift (degrees),Northern range extent latitude shift (degrees),spring abundance ,spring abundance (first 5 years ) ,spring abundance (last 5 years ) 
Alosa aestivalis,blueback herring,0.18%,0.11%,0.09%,0.08%,depth,pelagic,33,130.08,25.97,-0.31,4.87,331621,24967,98162
Alosa pseudoharengus,alewife,0.00%,0.46%,0.12%,0.64%,substrate,pelagic,33,140.48,-4.08,1.54,1.66,1384898,47601,356052
Alosa sapidissima,American shad,0.12%,0.04%,0.05%,0.08%,depth,pelagic,33,130.97,35.62,1.72,1.74,33580,1965,8725
Amblyraja radiata,thorny skate,1.94%,0.89%,0.03%,3.36%,substrate,demersal,33,20.09,-10.64,0.22,0.06,29096,5275,5720
Ammodytes dubius,northern sand lance,0.16%,0.07%,0.09%,0.10%,depth,benthic,33,196.38,-41.67,2.06,1.73,1315965,364854,384329
Anarhichas lupus,Atlantic wolffish,0.00%,0.38%,0.04%,0.81%,substrate,benthic,33,52.72,-4.29,0.75,0.69,1844,608,135
Anchoa hepsetus,striped anchovy,0.23%,1.56%,0.42%,0.24%,bottom temperature,pelagic,18,28.34, , , ,201217,178578,14951
Anchoa mitchilli,bay anchovy,0.29%,1.40%,0.48%,0.27%,bottom temperature,pelagic,30,136.36,69.70,0.50,0.97,3875901,1525510,3299
Argentina silus,Atlantic argentine,0.88%,0.01%,0.33%,0.27%,depth,pelagic,32,16.32,6.90,-0.15,-0.04,14440,4851,5665
Aspidophoroides monopterygius,alligatorfish,0.00%,0.09%,0.03%,0.37%,substrate,demersal,33,, , , ,13249,338,5998
Bairdiella chrysoura,silver perch,0.06%,0.20%,0.00%,0.07%,bottom temperature,demersal,20,57.58, , , ,30326,20130,1298
Artediellus ,hookear sculpins,0.02%,0.01%,0.02%,0.02%,bottom salinity,pelagic,31,194.19,15.22,-0.04,-0.02,1196,77,0
Brosme brosme,cusk,2.23%,0.18%,0.81%,1.24%,depth,demersal,33,25.59,2.78,-0.41,-0.39,1613,616,157
Bairdiella chrysoura,silver perch,0.05%,0.07%,0.03%,0.09%,substrate,demersal,20,21.09, , , ,30326,20130,1298
Centropristis striata,black sea bass,0.05%,0.25%,0.09%,0.60%,substrate,demersal,33,204.82,-1.43,2.01,2.03,355003,22845,146179
Chlorophthalmus agassizi,shortnose greeneye,1.56%,0.01%,1.82%,0.05%,bottom salinity,demersal,32,631.72,17.31,0.15,0.27,47966,942,35335
Carcharhinus plumbeus,sandbar shark,0.04%,0.07%,0.08%,0.43%,substrate,benthic,33,81.99,-5.48,-0.02,0.00,556,45,58
Clupea harengus,Atlantic herring,0.04%,0.57%,0.19%,0.23%,bottom temperature,pelagic,33,148.3,39.08,1.00,1.12,4747386,260226,421050
Conger oceanicus,conger eel,0.02%,0.22%,0.19%,0.16%,bottom temperature,demersal,26,80.5,-40.86,0.89,0.82,445,128,42
Cryptacanthodes maculatus,wrymouth,0.00%,0.22%,0.28%,2.54%,substrate,demersal,32,81.99,12.90,0.03,0.06,3222,28,903
Cyclopterus lumpus,lumpfish,0.07%,0.32%,0.00%,0.47%,substrate,demersal,33,111.9,-28.72,-0.40,-0.37,363,60,55
Cynoscion regalis,weakfish,0.49%,2.79%,1.04%,0.48%,bottom temperature,demersal,33,358.79,-1.96,-0.15,-0.13,972675,580455,60864
Dasyatis centroura,roughtail stingray,0.16%,1.04%,0.07%,0.21%,bottom temperature,demersal,23,18.71, , , ,2541,31,229
