SCINAME,SCINAME,years_fall,years_spring,SVSPP,ITISSPP,COMNAME,AUTHOR,order,order_common,type,depth_profile
ALOSA.AESTIVALIS,ALOSA AESTIVALIS,33,34,34,161703,BLUEBACK HERRING,"(Mitchill, 1814)",clupeiformes,herrings and anchovys ,fish,pelagic
ALOSA.PSEUDOHARENGUS,ALOSA PSEUDOHARENGUS,34,34,33,161706,ALEWIFE,"(Wilson in Rees, 1811)",clupeiformes,herrings and anchovys ,fish,pelagic
ALOSA.SAPIDISSIMA,ALOSA SAPIDISSIMA,34,34,35,161702,AMERICAN SHAD,"(Wilson in Rees, 1811)",clupeiformes,herrings and anchovys ,fish,pelagic
AMBLYRAJA.RADIATA,AMBLYRAJA RADIATA,34,34,28,564149,THORNY SKATE,"(Donovan, 1808)",rajiformes,rays,fish,demersal
AMMODYTES.DUBIUS,AMMODYTES DUBIUS,34,34,181,171674,NORTHERN SAND LANCE,"Reinhardt, 1837",perciformes,perch like,fish,benthic
ANARHICHAS.LUPUS,ANARHICHAS LUPUS,33,34,192,171341,ATLANTIC WOLFFISH,"Linnaeus, 1758",perciformes,perch like,fish,benthic
ANCHOA.HEPSETUS,ANCHOA HEPSETUS,33,19,44,161838,STRIPED ANCHOVY,"(Linnaeus, 1758)",clupeiformes,herrings and anchovys ,fish,pelagic
ANCHOA.MITCHILLI,ANCHOA MITCHILLI,33,31,43,161839,BAY ANCHOVY,"(Valenciennes in Cuvier and Valenciennes, 1848)",clupeiformes,herrings and anchovys ,fish,pelagic
ANGUILLIFORMES,ANGUILLIFORMES,17,20,60,161123,EEL UNCL,NA,,,unclassified,
ANTIGONIA.CAPROS,ANTIGONIA CAPROS,31,30,158,166311,DEEPBODY BOARFISH,"Lowe, 1843",perciformes,perch like,fish,demersal
ARGENTINA.SILUS,ARGENTINA SILUS,31,33,46,162064,ATLANTIC ARGENTINE,"Ascanius, 1775",osmeriformes,smelts,fish,pelagic
ARGENTINA.STRIATA,ARGENTINA STRIATA,22,18,856,162067,STRIATED ARGENTINE,"Goode and Bean, 1895",osmeriformes,smelts,fish,pelagic
ARTEDIELLUS.,ARTEDIELLUS ,24,25,159,167201,HOOKEAR SCULPINS,NA,scorpaeniformes,scorpionfishes and flatheads,fish,benthic
ASPIDOPHOROIDES.MONOPTERYGIUS,ASPIDOPHOROIDES MONOPTERYGIUS,34,34,165,167439,ALLIGATORFISH,"(Bloch, 1786)",scorpaeniformes,scorpionfishes and flatheads,fish,demersal
BAIRDIELLA.CHRYSOURA,BAIRDIELLA CHRYSOURA,25,21,148,169259,SILVER PERCH,"(Lacepede, 1802)",perciformes,perch like,fish,demersal
BATHYNECTES.LONGISPINA,BATHYNECTES LONGISPINA,21,17,517,98694,BATHYAL SWIMMING CRAB,"Stimpson, 1871",decapods,decapods,invert,
BATHYPOLYPUS.ARCTICUS,BATHYPOLYPUS ARCTICUS,23,23,512,82636,SPOONARM OCTOPUS,"(Prosch, 1847)",octopoda,octopoda,invert,demersal
BREVOORTIA.TYRANNUS,BREVOORTIA TYRANNUS,32,32,36,161732,ATLANTIC MENHADEN,"(Latrobe, 1802)",clupeiformes,herrings and anchovys ,fish,pelagic
BROSME.BROSME,BROSME BROSME,34,34,84,164740,CUSK,"(Ascanius, 1772)",gadiformes,cods and allies,fish,demersal
CALLINECTES.SAPIDUS,CALLINECTES SAPIDUS,33,17,314,98696,BLUE CRAB,"Rathbun, 1896",decapods,decapods,invert,
CANCER.BOREALIS,CANCER BOREALIS,34,34,312,98678,JONAH CRAB,"Stimpson, 1859",decapods,decapods,invert,demersal
CANCER.IRRORATUS,CANCER IRRORATUS,34,34,313,98679,ATLANTIC ROCK CRAB,"Say, 1817",decapods,decapods,invert,demersal
CARCHARHINUS.PLUMBEUS,CARCHARHINUS PLUMBEUS,27,21,9,160289,SANDBAR SHARK,"(Nardo, 1827)",carcharhiniformes,ground sharks,fish,demersal
CENTROPRISTIS.STRIATA,CENTROPRISTIS STRIATA,34,34,141,167687,BLACK SEA BASS,"(Linnaeus, 1758)",perciformes,perch like ,fish,demersal
CEPHALOPODA,CEPHALOPODA,20,18,501,82326,SQUID CUTTLEFISH AND OCTOPOD UNCL,"Cuvier, 1797",cephalopod,cephalopod,invert,
CHIONOECETES.OPILIO,CHIONOECETES OPILIO,23,26,325,98428,SNOW CRAB,"(Fabricius, 1788)",decapods,decapods,invert,
CHLOROPHTHALMUS.AGASSIZI,CHLOROPHTHALMUS AGASSIZI,34,33,232,162430,SHORTNOSE GREENEYE,"Bonaparte, 1840",aulopiformes,grinners,fish,demersal
CITHARICHTHYS.ARCTIFRONS,CITHARICHTHYS ARCTIFRONS,34,34,109,172719,GULF STREAM FLOUNDER,"Goode, 1880",pleuronectiformes,flatfishes,fish,benthic
CLUPEA.HARENGUS,CLUPEA HARENGUS,34,34,32,161722,ATLANTIC HERRING,"Linnaeus, 1758",clupeiformes,herrings and anchovys ,fish,pelagic
CONGER.OCEANICUS,CONGER OCEANICUS,29,27,63,161326,CONGER EEL,"(Mitchill, 1814)",anguilliformes,eels and morays ,fish,demersal
